Time [ms],CPU usage [%],GC activity [%],Size [B],Used [B]
"9:37:37.675 PM, Apr 22, 2015",95.2,0.3,4407689216,1712099616
"9:37:38.675 PM, Apr 22, 2015",95.2,0,4401397760,2100288688
"9:37:39.675 PM, Apr 22, 2015",79.4,1.4,4416602112,1941682344
"9:37:40.675 PM, Apr 22, 2015",95.4,2.1,4416602112,2017451072
"9:37:41.676 PM, Apr 22, 2015",93.6,1.8,4416602112,2166094608
"9:37:42.675 PM, Apr 22, 2015",94.3,1.6,4416602112,2429280784
"9:37:43.675 PM, Apr 22, 2015",84.7,1,4385669120,2166165784
"9:37:44.675 PM, Apr 22, 2015",89.9,1.6,4416602112,2686017832
"9:37:45.676 PM, Apr 22, 2015",95.3,1.8,4416602112,2994889304
"9:37:46.676 PM, Apr 22, 2015",100,1.9,4416602112,3071512656
"9:37:47.676 PM, Apr 22, 2015",29.3,11.4,4387766272,824494168
"9:37:49.379 PM, Apr 22, 2015",2.3,0,4387766272,850104680
"9:37:49.676 PM, Apr 22, 2015",100,0,4387766272,1554105840
"9:37:50.676 PM, Apr 22, 2015",79.7,0,4387766272,1397241208
"9:37:51.676 PM, Apr 22, 2015",97.3,1.4,4387766272,2174530736
"9:37:52.676 PM, Apr 22, 2015",95.1,1.6,4387766272,2544576344
"9:37:53.677 PM, Apr 22, 2015",96.9,1.7,4387766272,2783402208
"9:37:54.677 PM, Apr 22, 2015",84.6,0,4381999104,2758394928
"9:37:55.677 PM, Apr 22, 2015",89.6,1,4364697600,3254815512
"9:37:56.677 PM, Apr 22, 2015",98,3.5,4372561920,1139952712
"9:37:57.679 PM, Apr 22, 2015",96.1,0.2,4370989056,1434119760
"9:37:58.677 PM, Apr 22, 2015",95.9,0,4377804800,1842681008
"9:37:59.677 PM, Apr 22, 2015",77,1.3,4384096256,1837624656
"9:38:00.677 PM, Apr 22, 2015",95.6,1.8,4387766272,2199146216
"9:38:01.677 PM, Apr 22, 2015",96.5,1.8,4387766272,2432423104
"9:38:02.678 PM, Apr 22, 2015",100,1.8,4387766272,2515856872
"9:38:03.678 PM, Apr 22, 2015",81,0,4375707648,2552645224
"9:38:04.680 PM, Apr 22, 2015",95.9,1.4,4387766272,3210633656
"9:38:05.680 PM, Apr 22, 2015",24.9,11.9,4514643968,847246888
